	75
tutu.n.01:Tutu	37900
very.r.01:really	1503
price.n.05:price	84261
information_technology.n.01:IT	70771
look.v.02:look	9317
cheap.a.01:cheap	765375
one.s.01:one	5821
amazon.n.04:amazon	4425
witness.v.02:find	18142
make.v.02:make	625
ill.r.01:poorly	11335
angstrom.n.01:A	64949
buy.v.01:buy	11499
four.s.01:4	798
year.n.01:yr	6582
old.a.01:old	8368
daughter.n.01:daughter	338
dancing.n.01:dance	934
course.n.01:class	76296
wear.v.01:wear	2351
today.n.01:today	10720
first.a.01:first	27251
time.n.01:time	165
teacher.n.01:teacher	12162
think.v.01:think	13243
travel.v.01:go	494
light.a.04:light	12985
long.r.01:long	144
leotard.n.01:leotard	13775
happy.a.01:happy	45065
color.n.01:color	1960
match.v.01:match	3852
price.n.02:price	534
good.n.01:good	2069
fifteen.s.01:15	368
dollar.n.02:dollar	24805
state.v.01:say	14503
black.a.01:black	1299
white.a.02:white	1600
pink.n.01:pink	14766
think.v.02:think	69234
good.a.01:good	16298
manner.n.01:way	91
dancer.n.01:dancer	2112
outfit.n.02:outfit	37500
comfortable.a.01:comfortable	18770
spirit.n.02:look	12303
easy.a.01:easy	1
durables.n.01:durables	36093
small.a.01:little	12950
love.n.01:love	89
play.n.03:play	38510
make.v.02:get	2290
high.a.02:high	4634
revue.n.01:review	102
apparently.r.01:seemingly	51343
well.r.01:well	2958
girl.n.01:girl	366
regularly.r.01:regularly	2213
include.v.01:include	724
play.n.01:play	2923
stand.v.01:stand	15004
fit.n.01:fit	12285
three.s.01:3	31489
five.s.01:5	1005
batch.n.02:plenty	6270
room.n.01:room	1445
merely.r.01:only	2752
child.n.01:kid	357
pull.n.04:pull	778
waste.n.02:waste	8263
set.n.05:band	259
writhe.v.01:twist	368
adult.n.01:adult	27
tangle.n.01:tangle	14163
merely.r.01:but	2597
difficult.a.01:difficult	17
ring.n.02:halo	75
eden.n.01:heaven	11633
merchandise.n.01:product	349
little.n.01:little	12259
great.n.01:great	148
thousand.n.01:grand	1986
will.n.03:will	3458
seller.n.01:seller	1182
thanks.n.01:thanks	431
bargain.n.02:steal	64
apparel.n.01:wearing_apparel	4
dream.n.01:dreaming	7170
long.a.02:long	35866
thirty-four.s.01:34	12922
apparel.n.01:dress	333
dream.n.01:dream	9991
never.r.01:never	7524
order.n.02:order	80
florida.n.01:FL	1048
tap.v.07:pink	104
neglect.v.01:miss	3305
company.n.01:company	345
rip.n.03:rip	3
garbage.n.01:scraps	4196
make.v.03:make	4775
purchase.n.01:purchase	52
real_number.n.01:real	9
creeps.n.02:creeps	7790
experience.v.03:receive	138
fan.v.02:fan	783
movie.n.01:pic	311
sent.n.01:sent	477
underneath.r.02:underneath	6792
waist.n.01:waist	24495
desire.v.01:want	3229
due.a.01:due	3523
fact.n.01:fact	4777
already.r.01:already	15546
another.s.01:another	8290
pair.n.03:pair	8073
sandal.n.01:sandal	13175
keep.v.01:keep	1722
like.n.02:like	67
stand-in.n.01:backup	4946
regular.a.01:regular	304
ballet.n.02:ballet	5373
so.r.01:so	2133
far.r.02:far	25056
use.v.01:use	20
play.v.03:play	30
cinderella.n.02:Cinderella	69
ambition.n.01:dream	6164
able.a.01:able	7239
use.n.01:use	14
recital.n.02:recital	146
sometime.r.01:sometime	2873
soon.r.01:soon	6914
quality.n.02:quality	6543
fine.a.05:fine	30024
monetary_value.n.01:price	5298
pay.v.01:pay	17367
expect.v.01:expect	317
interior_designer.n.01:designer	7189
precisely.r.01:exactly	3825
full.a.01:full	9930
high.a.01:high	2595
skirt.n.01:skirt	8002
perfect.v.01:perfect	4171
legging.n.01:legging	47245
wish.v.02:like	1458
costume.n.02:costume	1457
spot.n.10:bit	104
fuller.n.03:fuller	15055
two.s.01:two	20
ballet_skirt.n.01:tutu	1249
anywhere.r.01:anywhere	21786
order.v.01:order	7695
beautiful.a.01:beautiful	284
princess.n.01:princess	15939
manner.n.01:style	9946
not.r.01:not	38
cheaply.r.02:cheaply	31104
make.v.01:make	971
obviously.r.01:obviously	4236
person.n.01:someone	307
care.n.01:care	2921
less.r.01:less	9597
seven.s.01:7	823
dollar.n.02:buck	408
feel.v.05:feel	77
proud.a.01:proud	325
self.n.01:self	155
research.v.02:research	1920
degree.n.02:point	20461
two.s.01:2	11195
six.s.01:6	22461
year.n.01:year	8573
clothing.n.01:wear	87034
size.n.01:size	15384
perfect.a.01:perfect	797
promptly.r.01:quickly	698
turn.v.07:grow	204
curiosity.n.01:wonder	440
niece.n.01:niece	9236
every.s.02:every	1067
individual.a.01:single	21715
day.n.01:day	115
yellow.v.01:yellow	1701
right.r.03:right	20
district_attorney.n.01:district_attorney	3
built.s.01:built	978
promise.n.02:hope	9381
batch.n.02:lot	2296
skirt.n.02:skirt	7714
about.r.07:almost	25899
even.r.01:even	998
along.r.01:along	4521
apparel.n.01:clothes	2580
perplex.v.01:amaze	8767
quality.n.01:quality	18835
suit.v.01:fit	25
knee.n.03:knee	13281
moment.n.02:bit	18377
much.a.01:much	2689
think.v.01:consider	3205
frequently.r.01:often	326
worry.v.03:worry	19234
buy.v.01:purchase	1101
granddaughter.n.01:granddaughter	206
first.r.03:first	26827
fit.a.03:fit	5792
nicely.r.01:nicely	2009
please.v.01:please	5
vary.v.03:vary	918
future.a.01:future	163
full_moon.n.01:full	2198
sew.v.01:stitch	7703
movie.n.01:picture	38
fairy.n.01:fairy	2613
gift.n.01:gift	5347
old.a.02:old	2210
five.s.01:five	5
squeal.v.01:squeal	2188
open.v.01:open	4175
box.n.01:box	317
catch.v.04:grab	14717
put.v.01:put	17944
look.v.02:seem	44
stand.n.09:stand	612
cover.v.05:handle	18444
recommend.v.01:recommend	21208
love.v.02:love	1232
washington.n.02:Washington	1685
hope.v.02:hope	157
order.n.07:order	12263
different.a.01:different	706
barely.r.01:hardly	12013
arrive.v.01:come	1082
apart.r.02:apart	57
lie.v.02:lie	220
wardrobe.n.01:closet	103
wholly.r.01:altogether	2886
twenty.s.01:20	174
minute.n.01:min	10162
quality.n.03:quality	11341
have.v.01:hold	8824
one.n.01:one	257
calcium.n.01:Ca	8422
perfective.n.01:perfect	6
bud.v.02:bud	109
ballerina.n.01:ballerina	1591
coloring_material.n.01:color	22588
paroxysm.n.01:fit	89
clean.a.06:clean	1342
item.n.01:item	1174
hold.v.03:give	12600
one.s.01:1	21
star_topology.n.01:star_topology	47
answer.n.01:reply	116
supplier.n.01:supplier	16184
try.v.01:try	293
refund.v.01:refund	201
seasonably.r.02:timely	290
manner.n.01:manner	86
shame.v.02:shame	2854
experience.v.03:get	104
kit.n.02:outfit	7373
week.n.01:week	2082
school.n.01:school	1666
original.a.03:original	7039
nice.n.01:Nice	10295
ten.s.01:10	3535
short.a.02:short	43365
small.a.01:small	6056
part.n.01:part	24163
love.v.03:love	4912
wear.n.03:wear	10220
time.n.02:time	1133
well.n.05:well	11456
always.r.01:always	106
act.v.03:play	1049
christmas.n.01:Christmas	1425
bring.v.01:take	1706
subsequently.r.01:later	14741
however.r.01:still	8773
well.r.02:well	455
worth.s.02:worth	7636
money.n.01:money	4631
nothing.n.01:nothing	3356
wrong.a.02:wrong	1615
young.a.01:young	3130
